dep_code;fac_code;name;responsible;graduating_dep;site;mob_number
1;1;Создаю робота;Вадим Гараев;4;www.botowod.com;88005553535
2;5;Пишу на бумаге;Ярик Привет;3;www.yarick.com;
3;3;Практикуйтесь;Практикант Вова;4;;
4;7;Я точно не картина;Усач Петя;7;;88005553535
5;4;Основаю основать;Владимир Гриб;4;www.grib.ru;
6;3;Я практикую;Практикант Вова;2;;
7;10;Скажи мне девять;Интелли Коддд;1;;88005553535
8;2;Голосуем голосом;Владислав Славения;10;www.ti_ne_golosuesh.com;88005553535
9;1;Латех;Валерий Валентинович;3;;
10;6;Русифицирую;Переводчик Валера;5;www.howtorussian.com;88005553535
;;;;;;
